X(mm),Y(mm),Z(mm)
-106.659971,-468.696783,0.000000
-106.655173,-468.691985,0.000000
-106.650375,-468.687187,0.000000
-106.645577,-468.682389,0.000000
-106.640779,-468.677591,0.000000
-106.635981,-468.672793,0.000000
-106.631182,-468.667995,0.000000
-106.626384,-468.663196,0.000000
-106.621586,-468.658398,0.000000
-106.616788,-468.653600,0.000000
-106.611990,-468.648802,0.000000
-106.607192,-468.644004,0.000000
-106.602394,-468.639206,0.000000
-106.597596,-468.634408,0.000000
-106.592798,-468.629610,0.000000
-106.588000,-468.624812,0.000000
-106.583202,-468.620014,0.000000
-106.578404,-468.615216,0.000000
-106.573606,-468.610418,0.000000
-106.568808,-468.605620,0.000000
-106.564010,-468.600822,0.000000
-106.559212,-468.596024,0.000000
-106.554413,-468.591225,0.000000
-106.549615,-468.586427,0.000000
-106.544817,-468.581629,0.000000
-106.540019,-468.576831,0.000000
-106.535221,-468.572033,0.000000
-106.530423,-468.567235,0.000000
-106.525625,-468.562437,0.000000
-106.520827,-468.557639,0.000000
-106.516029,-468.552841,0.000000
-106.511231,-468.548043,0.000000
-106.506433,-468.543245,0.000000
-106.501635,-468.538447,0.000000
-106.496837,-468.533649,0.000000
-106.492039,-468.528851,0.000000
-106.487241,-468.524053,0.000000
-106.482442,-468.519254,0.000000
-106.477644,-468.514456,0.000000
-106.472846,-468.509658,0.000000
-106.468048,-468.504860,0.000000
-106.463250,-468.500062,0.000000
-106.458452,-468.495264,0.000000
-106.453654,-468.490466,0.000000
-106.448856,-468.485668,0.000000
-106.444058,-468.480870,0.000000
-106.439260,-468.476072,0.000000
-106.434462,-468.471274,0.000000
-106.429664,-468.466476,0.000000
-106.424866,-468.461678,0.000000
-106.420068,-468.456880,0.000000
-106.415270,-468.452082,0.000000
-106.410471,-468.447283,0.000000
-106.405673,-468.442485,0.000000
-106.400875,-468.437687,0.000000
-106.396077,-468.432889,0.000000
-106.391279,-468.428091,0.000000
-106.386481,-468.423293,0.000000
-106.381683,-468.418495,0.000000
-106.376885,-468.413697,0.000000
-106.372087,-468.408899,0.000000
-106.367289,-468.404101,0.000000
-106.362491,-468.399303,0.000000
-106.357693,-468.394505,0.000000
-106.352895,-468.389707,0.000000
-106.348097,-468.384909,0.000000
-106.343299,-468.380111,0.000000
-106.338500,-468.375312,0.000000
-106.333702,-468.370514,0.000000
-106.328904,-468.365716,0.000000
-106.324106,-468.360918,0.000000
-106.319308,-468.356120,0.000000
-106.314510,-468.351322,0.000000
-106.309712,-468.346524,0.000000
-106.304914,-468.341726,0.000000
-106.300116,-468.336928,0.000000
-106.295318,-468.332130,0.000000
-106.290520,-468.327332,0.000000
-106.285722,-468.322534,0.000000
-106.280924,-468.317736,0.000000
-106.276126,-468.312938,0.000000
-106.271328,-468.308140,0.000000
-106.266529,-468.303341,0.000000
-106.261731,-468.298543,0.000000
-106.256933,-468.293745,0.000000
-106.252135,-468.288947,0.000000
-106.247337,-468.284149,0.000000
-106.242539,-468.279351,0.000000
-106.237741,-468.274553,0.000000
-106.232943,-468.269755,0.000000
-106.228145,-468.264957,0.000000
-106.223347,-468.260159,0.000000
-106.218549,-468.255361,0.000000
-106.213751,-468.250563,0.000000
-106.208953,-468.245765,0.000000
-106.204155,-468.240967,0.000000
-106.199357,-468.236169,0.000000
-106.194558,-468.231371,0.000000
-106.189760,-468.226572,0.000000
-106.184962,-468.221774,0.000000
-106.180164,-468.216976,0.000000
-106.175366,-468.212178,0.000000
-106.170568,-468.207380,0.000000
-106.165770,-468.202582,0.000000
-106.160972,-468.197784,0.000000
-106.156174,-468.192986,0.000000
-106.151376,-468.188188,0.000000
-106.146578,-468.183390,0.000000
-106.141780,-468.178592,0.000000
-106.136982,-468.173794,0.000000
-106.132184,-468.168996,0.000000
-106.127386,-468.164198,0.000000
-106.122588,-468.159400,0.000000
-106.117789,-468.154601,0.000000
-106.112991,-468.149803,0.000000
-106.108193,-468.145005,0.000000
-106.103395,-468.140207,0.000000
-106.098597,-468.135409,0.000000
-106.093799,-468.130611,0.000000
-106.089001,-468.125813,0.000000
-106.084203,-468.121015,0.000000
-106.079405,-468.116217,0.000000
-106.074607,-468.111419,0.000000
-106.069809,-468.106621,0.000000
-106.065011,-468.101823,0.000000
-106.060213,-468.097025,0.000000
-106.055415,-468.092227,0.000000
-106.050617,-468.087429,0.000000
-106.045818,-468.082630,0.000000
-106.041020,-468.077832,0.000000
-106.036222,-468.073034,0.000000
-106.031424,-468.068236,0.000000
-106.026626,-468.063438,0.000000
-106.021828,-468.058640,0.000000
-106.017030,-468.053842,0.000000
-106.012232,-468.049044,0.000000
-106.007434,-468.044246,0.000000
-106.002636,-468.039448,0.000000
-105.997838,-468.034650,0.000000
-105.993040,-468.029852,0.000000
-105.988242,-468.025054,0.000000
-105.983444,-468.020256,0.000000
-105.978646,-468.015458,0.000000
-105.973847,-468.010659,0.000000
-105.969049,-468.005861,0.000000
-105.964251,-468.001063,0.000000
-105.959453,-467.996265,0.000000
-105.954655,-467.991467,0.000000
-105.949857,-467.986669,0.000000
-105.945059,-467.981871,0.000000
-105.940261,-467.977073,0.000000
-105.935463,-467.972275,0.000000
-105.930665,-467.967477,0.000000
-105.925867,-467.962679,0.000000
-105.921069,-467.957881,0.000000
-105.916271,-467.953083,0.000000
-105.911473,-467.948285,0.000000
-105.906675,-467.943487,0.000000
-105.901876,-467.938688,0.000000
-105.897078,-467.933890,0.000000
-105.892280,-467.929092,0.000000
-105.887482,-467.924294,0.000000
-105.882684,-467.919496,0.000000
-105.877886,-467.914698,0.000000
-105.873088,-467.909900,0.000000
-105.868290,-467.905102,0.000000
-105.863492,-467.900304,0.000000
-105.858694,-467.895506,0.000000
-105.853896,-467.890708,0.000000
-105.849098,-467.885910,0.000000
-105.844300,-467.881112,0.000000
-105.839502,-467.876314,0.000000
-105.834704,-467.871516,0.000000
-105.829905,-467.866717,0.000000
-105.825107,-467.861919,0.000000
-105.820309,-467.857121,0.000000
-105.815511,-467.852323,0.000000
-105.810713,-467.847525,0.000000
-105.805915,-467.842727,0.000000
-105.801117,-467.837929,0.000000
-105.796319,-467.833131,0.000000
-105.791521,-467.828333,0.000000
-105.786723,-467.823535,0.000000
-105.781925,-467.818737,0.000000
-105.777127,-467.813939,0.000000
-105.772329,-467.809141,0.000000
-105.767531,-467.804343,0.000000
-105.762733,-467.799545,0.000000
-105.757934,-467.794747,0.000000
-105.753136,-467.789948,0.000000
-105.748338,-467.785150,0.000000
-105.743540,-467.780352,0.000000
-105.738742,-467.775554,0.000000
-105.733944,-467.770756,0.000000
-105.729146,-467.765958,0.000000
-105.724348,-467.761160,0.000000
-105.719550,-467.756362,0.000000
-105.714752,-467.751564,0.000000
-105.709954,-467.746766,0.000000
-105.705156,-467.741968,0.000000
-105.700358,-467.737170,0.000000
-105.695560,-467.732372,0.000000
-105.690762,-467.727574,0.000000
-105.685963,-467.722776,0.000000
-105.681165,-467.717977,0.000000
-105.676367,-467.713179,0.000000
-105.671569,-467.708381,0.000000
-105.666771,-467.703583,0.000000
-105.661973,-467.698785,0.000000
-105.657175,-467.693987,0.000000
-105.652377,-467.689189,0.000000
-105.647579,-467.684391,0.000000
-105.642781,-467.679593,0.000000
-105.637983,-467.674795,0.000000
-105.633185,-467.669997,0.000000
-105.628387,-467.665199,0.000000
-105.623589,-467.660401,0.000000
-105.618791,-467.655603,0.000000
-105.613993,-467.650805,0.000000
-105.609194,-467.646006,0.000000
-105.604396,-467.641208,0.000000
-105.599598,-467.636410,0.000000
-105.594800,-467.631612,0.000000
-105.590002,-467.626814,0.000000
-105.585204,-467.622016,0.000000
-105.580406,-467.617218,0.000000
-105.575608,-467.612420,0.000000
-105.570810,-467.607622,0.000000
-105.566012,-467.602824,0.000000
-105.561214,-467.598026,0.000000
-105.556416,-467.593228,0.000000
-105.551618,-467.588430,0.000000
-105.546820,-467.583632,0.000000
-105.542022,-467.578834,0.000000
-105.537223,-467.574035,0.000000
-105.532425,-467.569237,0.000000
-105.527627,-467.564439,0.000000
-105.522829,-467.559641,0.000000
-105.518031,-467.554843,0.000000
-105.513233,-467.550045,0.000000
-105.508435,-467.545247,0.000000
-105.503637,-467.540449,0.000000
-105.498839,-467.535651,0.000000
-105.494041,-467.530853,0.000000
-105.489243,-467.526055,0.000000
-105.484445,-467.521257,0.000000
-105.479647,-467.516459,0.000000
-105.474849,-467.511661,0.000000
-105.470051,-467.506863,0.000000
-105.465252,-467.502064,0.000000
-105.460454,-467.497266,0.000000
-105.455656,-467.492468,0.000000
-105.450858,-467.487670,0.000000
-105.446060,-467.482872,0.000000
-105.441262,-467.478074,0.000000
-105.436464,-467.473276,0.000000
-105.431666,-467.468478,0.000000
-105.426868,-467.463680,0.000000
-105.422070,-467.458882,0.000000
-105.417272,-467.454084,0.000000
-105.412474,-467.449286,0.000000
-105.407676,-467.444488,0.000000
-105.402878,-467.439690,0.000000
-105.398080,-467.434892,0.000000
-105.393281,-467.430093,0.000000
-105.388483,-467.425295,0.000000
-105.383685,-467.420497,0.000000
-105.378887,-467.415699,0.000000
-105.374089,-467.410901,0.000000
-105.369291,-467.406103,0.000000
-105.364493,-467.401305,0.000000
-105.359695,-467.396507,0.000000
-105.354897,-467.391709,0.000000
-105.350099,-467.386911,0.000000
-105.345301,-467.382113,0.000000
-105.340503,-467.377315,0.000000
-105.335705,-467.372517,0.000000
-105.330907,-467.367719,0.000000
-105.326109,-467.362921,0.000000
-105.321310,-467.358122,0.000000
-105.316512,-467.353324,0.000000
-105.311714,-467.348526,0.000000
-105.306916,-467.343728,0.000000
-105.302118,-467.338930,0.000000
-105.297320,-467.334132,0.000000
-105.292522,-467.329334,0.000000
-105.287724,-467.324536,0.000000
-105.282926,-467.319738,0.000000
-105.278128,-467.314940,0.000000
-105.273330,-467.310142,0.000000
-105.268532,-467.305344,0.000000
-105.263734,-467.300546,0.000000
-105.258936,-467.295748,0.000000
-105.254138,-467.290950,0.000000
-105.249339,-467.286152,0.000000
-105.244541,-467.281353,0.000000
-105.239743,-467.276555,0.000000
-105.234945,-467.271757,0.000000
-105.230147,-467.266959,0.000000
-105.225349,-467.262161,0.000000
-105.220551,-467.257363,0.000000
-105.215753,-467.252565,0.000000
-105.210955,-467.247767,0.000000
-105.206157,-467.242969,0.000000
-105.201359,-467.238171,0.000000
-105.196561,-467.233373,0.000000
-105.191763,-467.228575,0.000000
-105.186965,-467.223777,0.000000
-105.182167,-467.218979,0.000000
-105.177369,-467.214181,0.000000
-105.172570,-467.209382,0.000000
-105.167772,-467.204584,0.000000
-105.162974,-467.199786,0.000000
-105.158176,-467.194988,0.000000
-105.153378,-467.190190,0.000000
-105.148580,-467.185392,0.000000
-105.143782,-467.180594,0.000000
-105.138984,-467.175796,0.000000
-105.134186,-467.170998,0.000000
-105.129388,-467.166200,0.000000
-105.124590,-467.161402,0.000000
-105.119792,-467.156604,0.000000
-105.114994,-467.151806,0.000000
-105.110196,-467.147008,0.000000
-105.105398,-467.142210,0.000000
-105.100599,-467.137411,0.000000
-105.095801,-467.132613,0.000000
-105.091003,-467.127815,0.000000
-105.086205,-467.123017,0.000000
-105.081407,-467.118219,0.000000
-105.076609,-467.113421,0.000000
-105.071811,-467.108623,0.000000
-105.067013,-467.103825,0.000000
-105.062215,-467.099027,0.000000
-105.057417,-467.094229,0.000000
-105.052619,-467.089431,0.000000
-105.047821,-467.084633,0.000000
-105.043023,-467.079835,0.000000
-105.038225,-467.075037,0.000000
-105.033427,-467.070239,0.000000
-105.028628,-467.065440,0.000000
-105.023830,-467.060642,0.000000
-105.019032,-467.055844,0.000000
-105.014234,-467.051046,0.000000
-105.009436,-467.046248,0.000000
-105.004638,-467.041450,0.000000
-104.999840,-467.036652,0.000000
-104.995042,-467.031854,0.000000
-104.990244,-467.027056,0.000000
-104.985446,-467.022258,0.000000
-104.980648,-467.017460,0.000000
-104.975850,-467.012662,0.000000
-104.971052,-467.007864,0.000000
-104.966254,-467.003066,0.000000
-104.961456,-466.998268,0.000000
-104.956657,-466.993469,0.000000
-104.951859,-466.988671,0.000000
-104.947061,-466.983873,0.000000
-104.942263,-466.979075,0.000000
-104.937465,-466.974277,0.000000
