Average_IMU_SPS_Hz,6876.021
IMU_Time_sec,Accel_X_raw,Accel_Y_raw,Accel_Z_raw,Gyro_X_raw,Gyro_Y_raw,Gyro_Z_raw
0.041378,-13,-122,8334,38,-65,-1
0.041514,12,-164,8335,44,-71,-26
0.041653,9,-139,8276,56,-71,-26
0.041793,59,-172,8286,44,-97,-13
0.041932,29,-158,8318,19,-33,12
0.042071,5,-198,8313,56,-84,-58
0.042211,33,-142,8347,69,-58,-13
0.042351,58,-126,8303,12,-46,-32
0.042489,37,-121,8328,88,-141,-32
0.042628,-15,-111,8316,6,-7,-13
0.042768,-6,-137,8346,63,-103,-1
0.042907,-10,-131,8331,25,-33,-51
0.043046,4,-182,8374,25,-109,5
0.043186,44,-160,8340,82,-71,-64
0.043325,71,-133,8304,19,-33,37
0.043464,-3,-121,8286,38,-52,-83
0.043604,-14,-152,8345,88,-109,12
0.043743,40,-187,8355,0,-39,-20
0.043883,68,-167,8358,50,-90,-7
0.044022,41,-141,8273,56,-58,-32
0.044161,7,-131,8322,56,-84,-26
0.0443,43,-125,8326,25,-77,-13
0.04444,17,-197,8315,25,-77,-20
0.044579,1,-150,8335,56,-39,-1
0.044718,-11,-162,8322,63,-116,-32
0.044857,16,-204,8300,6,-65,-26
0.044997,-27,-96,8353,94,-52,-32
0.045136,-19,-144,8359,-6,-97,-7
0.045275,59,-140,8362,75,-52,-45
0.045415,-14,-157,8334,44,-116,-26
0.045554,18,-208,8319,19,-7,-7
0.045693,6,-160,8337,69,-109,-32
0.045833,40,-102,8328,38,-65,5
0.045972,-46,-101,8360,50,-77,-51
0.046111,-27,-113,8377,25,-58,5
0.046251,4,-119,8286,75,-97,-58
0.04639,-36,-144,8298,6,-71,-7
0.046529,-8,-146,8265,88,-52,-32
0.046668,61,-116,8274,0,-46,-13
0.046808,66,-118,8258,88,-84,-1
0.046947,-22,-145,8286,50,-90,-70
0.047087,38,-119,8303,-6,-33,12
0.047226,11,-163,8328,69,-77,-45
0.047365,59,-141,8313,38,-71,5
0.047504,10,-163,8285,63,-71,-70
0.047644,18,-125,8322,19,-46,31
0.047783,39,-188,8313,25,-65,-39
0.047922,49,-122,8298,100,-90,-32
0.048063,22,-97,8282,0,-65,-32
0.048201,-12,-88,8255,63,-65,-1
0.04834,10,-195,8275,63,-58,-32
0.048479,-8,-120,8330,44,-84,-32
0.048619,-14,-139,8307,25,-20,-7
0.048758,-6,-164,8292,44,-116,-13
0.048897,-21,-130,8276,50,-65,5
0.049037,8,-129,8279,63,-65,-45
0.049177,-19,-154,8261,12,-97,-20
0.049315,32,-154,8324,63,-39,-13
0.049457,3,-129,8333,50,-109,-32
0.049594,-6,-179,8335,50,-52,-7
0.049733,-23,-86,8330,12,-65,-26
0.049873,2,-111,8286,44,-77,-13
0.050013,39,-170,8318,50,-52,-13
0.050151,48,-158,8319,25,-90,-20
0.050292,-31,-132,8333,63,-20,-13
0.05043,-22,-168,8322,19,-116,-20
0.050569,9,-154,8274,31,-39,-32
0.050708,-35,-161,8265,31,-71,18
0.050848,-15,-117,8297,56,-77,-45
0.050987,42,-164,8275,44,-77,-20
0.051128,3,-166,8332,44,-39,-20
0.051265,51,-133,8316,6,-90,-26
0.051405,-19,-144,8335,69,-39,-7
0.051544,-8,-143,8268,56,-97,-39
0.051686,23,-142,8290,63,-103,-26
0.051824,61,-105,8317,19,-33,37
0.051962,-24,-127,8331,56,-109,-64
0.052102,10,-107,8336,25,-46,-7
0.052241,8,-93,8266,107,-84,-26
0.05238,6,-146,8267,12,-58,-7
0.05252,6,-147,8317,56,-84,-32
0.052659,72,-177,8277,63,-58,-7
0.052798,7,-192,8240,12,-71,-32
0.052937,-64,-152,8318,31,-90,-26
0.053077,-6,-102,8321,69,-46,-13
0.053216,24,-201,8313,38,-77,-26
0.053356,14,-182,8292,31,-84,-13
0.053494,-11,-149,8302,31,-26,-1
0.053634,36,-111,8267,44,-71,-26
0.053773,2,-148,8318,63,-103,-58
0.053912,35,-154,8290,38,-46,5
0.054052,63,-164,8290,19,-90,-13
0.054191,22,-211,8292,38,-26,5
0.05433,42,-141,8312,69,-135,-58
0.05447,-24,-131,8281,6,-33,-13
0.054609,-8,-162,8274,75,-77,-39
0.054748,39,-156,8286,25,-71,12
0.054887,7,-109,8245,12,-77,-20
0.055027,14,-125,8247,100,-97,-70
0.055168,-9,-171,8255,-6,-26,56
0.055305,2,-100,8285,56,-84,-70
0.055445,-48,-155,8299,38,-65,5
0.055584,26,-145,8264,44,-84,-26
0.055725,10,-194,8289,56,-58,-51
0.055863,-12,-154,8296,12,-65,-1
0.056002,12,-127,8295,50,-39,5
0.056142,41,-153,8266,50,-97,-58
0.056281,0,-149,8254,63,-71,-13
0.05642,-34,-178,8270,44,-20,-20
0.05656,45,-143,8277,38,-116,-7
0.056699,87,-102,8344,6,-14,-7
0.056838,4,-115,8299,56,-109,-13
0.056977,-7,-124,8338,56,-71,-64
0.057119,-14,-158,8352,12,-20,50
0.057256,-27,-167,8281,75,-109,-77
