Average_MAG_SPS_Hz,798.729
MAG_Time_sec,Mag_X_raw,Mag_Y_raw,Mag_Z_raw
0.495086,-2016,990,-5451
0.496033,-2074,1042,-5359
0.496981,-2106,1024,-5389
0.497929,-2126,1008,-5401
0.498876,-2092,1030,-5384
0.499823,-2068,1058,-5455
0.500771,-2108,1004,-5346
0.501717,-2074,1034,-5417
0.502665,-2130,1018,-5444
0.503611,-2104,972,-5439
0.504558,-2094,1036,-5381
0.505505,-2108,1018,-5398
0.506452,-2084,1004,-5432
0.5074,-2116,988,-5405
0.508348,-2102,1016,-5405
0.509293,-2116,1002,-5439
0.510241,-2100,1004,-5376
0.511189,-2118,1052,-5393
0.512135,-2126,1026,-5467
0.513084,-2154,1008,-5389
0.51403,-2102,1074,-5362
0.514978,-2156,984,-5353
0.515925,-2118,1044,-5391
0.516873,-2094,1004,-5357
0.51782,-2068,998,-5339
0.518769,-2148,996,-5357
0.519713,-2082,986,-5398
0.52066,-2116,1042,-5350
0.521607,-2126,1022,-5444
0.522553,-2096,980,-5329
0.523501,-2106,970,-5314
0.524448,-2112,984,-5376
0.525396,-2144,996,-5389
0.526342,-2162,1000,-5344
0.527291,-2104,1044,-5453
0.528236,-2150,1014,-5406
0.529183,-2116,1066,-5425
0.530131,-2134,1020,-5459
0.531079,-2144,992,-5411
0.532026,-2090,980,-5397
0.532972,-2122,970,-5408
0.533919,-2086,1020,-5374
0.534866,-2104,1016,-5390
0.535813,-2120,1036,-5387
0.536763,-2108,1014,-5472
0.537708,-2128,1006,-5438
0.538654,-2094,1042,-5362
0.539602,-2126,984,-5369
0.54055,-2086,958,-5373
0.541499,-2112,1006,-5477
0.542444,-2138,1008,-5366
0.543392,-2118,1024,-5408
0.544338,-2078,992,-5400
0.545286,-2110,992,-5347
0.546236,-2118,982,-5406
0.54718,-2088,1042,-5448
0.548128,-2126,1018,-5374
0.549074,-2124,980,-5314
0.550023,-2100,990,-5407
0.566121,-2054,976,-5440
0.567068,-2136,1012,-5384
0.568014,-2090,998,-5469
0.568961,-2122,984,-5411
0.569909,-2074,1002,-5432
0.570856,-2100,1026,-5455
0.571805,-2122,1024,-5379
0.572749,-2036,992,-5386
0.573696,-2082,982,-5434
0.574643,-2072,994,-5452
0.575589,-2144,1014,-5358
0.576537,-2110,972,-5458
0.577484,-2054,1004,-5418
0.578431,-2058,992,-5378
0.579378,-2112,1016,-5419
0.580326,-2122,1024,-5383
0.581273,-2096,970,-5427
0.58222,-2080,1016,-5374
0.583166,-2110,1004,-5399
0.584113,-2090,1012,-5353
0.585062,-2080,980,-5452
0.586012,-2122,984,-5406
0.586957,-2102,1004,-5393
0.587903,-2102,1014,-5378
0.58885,-2128,1030,-5355
0.589798,-2146,1052,-5380
0.590745,-2146,996,-5451
0.591692,-2100,976,-5441
0.59264,-2110,980,-5454
0.593587,-2106,1008,-5488
0.594535,-2096,978,-5422
0.59548,-2138,982,-5423
0.596428,-2112,976,-5445
0.597378,-2156,1002,-5439
0.598321,-2118,988,-5319
0.599268,-2100,940,-5413
0.600214,-2148,984,-5400
0.601164,-2122,976,-5413
0.602108,-2132,976,-5359
0.603056,-2122,1008,-5403
0.604002,-2110,976,-5365
0.60495,-2072,980,-5369
0.605896,-2086,940,-5385
0.606842,-2120,962,-5365
0.60779,-2104,980,-5329
0.608738,-2104,984,-5379
0.609685,-2120,906,-5348
0.610637,-2118,948,-5334
0.611578,-2122,964,-5327
0.612526,-2110,950,-5326
0.613473,-2124,974,-5348
0.61442,-2078,964,-5373
0.615367,-2116,972,-5396
0.616313,-2090,970,-5354
0.61726,-2066,980,-5394
0.618207,-2106,1014,-5396
0.619154,-2084,1014,-5389
0.620102,-2090,954,-5424
0.621048,-2146,954,-5423
0.621995,-2118,1006,-5375
0.622942,-2094,972,-5426
0.62389,-2108,948,-5419
0.624838,-2118,934,-5456
0.625786,-2112,910,-5366
0.626732,-2080,966,-5386
0.627679,-2140,958,-5350
0.628625,-2112,992,-5384
0.629572,-2120,956,-5466
0.630518,-2134,990,-5445
0.631466,-2090,982,-5456
0.632413,-2124,976,-5420
0.63336,-2126,962,-5384
0.634306,-2138,940,-5415
0.635255,-2114,980,-5415
0.6362,-2128,932,-5404
0.637147,-2098,982,-5444
0.638094,-2144,964,-5440
0.639043,-2126,976,-5407
0.63999,-2096,966,-5408
0.640935,-2164,1014,-5448
0.641882,-2142,1002,-5419
0.642828,-2124,1034,-5356
0.643775,-2128,1004,-5378
0.644722,-2098,968,-5372
0.645669,-2104,1000,-5358
0.646616,-2132,984,-5363
0.647563,-2128,976,-5342
0.64851,-2100,992,-5399
0.662715,-2068,1036,-5346
0.663662,-2102,968,-5448
0.66461,-2134,1016,-5361
0.665558,-2104,1024,-5385
0.666503,-2096,982,-5407
0.66745,-2106,998,-5371
0.668398,-2108,986,-5394
0.669345,-2088,946,-5388
0.670291,-2056,1016,-5442
0.671238,-2102,950,-5468
0.672184,-2094,984,-5366
0.673133,-2086,978,-5394
0.674081,-2102,940,-5501
0.675031,-2118,1000,-5448
0.675974,-2090,962,-5359
0.67692,-2086,942,-5450
0.677867,-2138,992,-5411
0.678814,-2118,944,-5345
0.679759,-2122,958,-5389
0.680709,-2112,930,-5393
0.681653,-2092,928,-5399
