Date,2026-05-07 00:02:29
Duration (s),5.4420
Comment,"table square (X/Y, eyeballed)"

X,Y,Z,w,x,y,z,T
-0.1105,0.0659,0.0189,32.7640,0.1220,0.3520,-0.3400,754266
-0.1105,0.0652,0.0189,32.7620,0.1180,0.3520,-0.3780,754284
-0.1105,0.0634,0.0189,32.7620,0.1120,0.3520,-0.4040,754321
-0.1104,0.0623,0.0189,32.7620,0.1100,0.3520,-0.4080,754339
-0.1104,0.0610,0.0189,32.7620,0.1080,0.3520,-0.4200,754357
-0.1104,0.0605,0.0189,32.7620,0.1060,0.3540,-0.4640,754394
-0.1105,0.0605,0.0189,32.7620,0.1060,0.3520,-0.4720,754412
-0.1105,0.0603,0.0189,32.7620,0.1040,0.3520,-0.4820,754430
-0.1107,0.0595,0.0189,32.7620,0.1020,0.3500,-0.4900,754466
-0.1108,0.0590,0.0190,32.7620,0.1000,0.3500,-0.5060,754485
-0.1109,0.0583,0.0190,32.7600,0.0980,0.3480,-0.5320,754503
-0.1111,0.0575,0.0190,32.7600,0.0960,0.3460,-0.5480,754521
-0.1115,0.0556,0.0190,32.7600,0.0960,0.3460,-0.5500,754557
-0.1117,0.0545,0.0190,32.7600,0.0940,0.3440,-0.5560,754576
-0.1119,0.0533,0.0190,32.7600,0.0920,0.3420,-0.5480,754594
-0.1123,0.0504,0.0190,32.7600,0.0860,0.3360,-0.5380,754630
-0.1125,0.0490,0.0190,32.7600,0.0840,0.3360,-0.5480,754648
-0.1126,0.0474,0.0190,32.7600,0.0820,0.3360,-0.5560,754667
-0.1130,0.0443,0.0190,32.7600,0.0760,0.3340,-0.5800,754703
-0.1130,0.0427,0.0190,32.7600,0.0740,0.3340,-0.5980,754721
-0.1131,0.0412,0.0190,32.7600,0.0740,0.3340,-0.6040,754739
-0.1133,0.0383,0.0190,32.7600,0.0700,0.3300,-0.6280,754776
-0.1134,0.0370,0.0190,32.7580,0.0680,0.3300,-0.6400,754794
-0.1134,0.0357,0.0190,32.7600,0.0680,0.3300,-0.6360,754812
-0.1134,0.0329,0.0190,32.7580,0.0580,0.3280,-0.6600,754849
-0.1134,0.0315,0.0190,32.7580,0.0560,0.3280,-0.6840,754867
-0.1133,0.0301,0.0190,32.7580,0.0520,0.3280,-0.7220,754885
-0.1134,0.0274,0.0190,32.7560,0.0480,0.3300,-0.7720,754921
-0.1135,0.0261,0.0191,32.7560,0.0440,0.3260,-0.8020,754940
-0.1135,0.0247,0.0191,32.7540,0.0400,0.3260,-0.8360,754958
-0.1137,0.0224,0.0191,32.7540,0.0340,0.3260,-0.8620,754994
-0.1140,0.0216,0.0191,32.7540,0.0340,0.3240,-0.8600,755012
-0.1142,0.0209,0.0191,32.7540,0.0340,0.3220,-0.8620,755031
-0.1144,0.0205,0.0192,32.7540,0.0360,0.3220,-0.8620,755049
-0.1149,0.0204,0.0192,32.7560,0.0360,0.3200,-0.8240,755085
-0.1151,0.0208,0.0192,32.7560,0.0380,0.3200,-0.8100,755103
